model,hyperparameters,preprocessor,postprocessor,UnifiedMetricLibrary (average_odds_difference),UnifiedMetricLibrary (equal_opportunity_difference),UnifiedMetricLibrary (disparate_impact),UnifiedMetricLibrary (statistical_parity_difference),UnifiedMetricLibrary (accuracy_score)
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
