model,hyperparameters,preprocessor,postprocessor,UnifiedMetricLibrary (statistical_parity_difference),UnifiedMetricLibrary (accuracy_score),UnifiedMetricLibrary (equal_opportunity_difference),UnifiedMetricLibrary (disparate_impact),UnifiedMetricLibrary (average_odds_difference)
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.3788590962504006,0.668827660723933,0.23619030648610118,0.5584949114562261,0.35828054037500257
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.3788590962504006,0.668827660723933,0.23619030648610118,0.5584949114562261,0.35828054037500257
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.2981519068475591,0.6763911399243652,0.17738774055595152,0.64698814229249,0.2696507950326104
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.2981519068475591,0.6763911399243652,0.17738774055595152,0.64698814229249,0.2696507950326104
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.2981519068475591,0.6763911399243652,0.17738774055595152,0.64698814229249,0.2696507950326104
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.2981519068475591,0.6763911399243652,0.17738774055595152,0.64698814229249,0.2696507950326104
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.2981519068475591,0.6763911399243652,0.17738774055595152,0.64698814229249,0.2696507950326104
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
